Wafer ID,FAMILY_CODE,8_24C_Yield,22_24C_Yield,DI51_C5_M7125P125A_ST_A102_4M_Perfect,SailSM_K2_AllChains_1p25vFM_Perfect,SailSM_K2_AllChains_0p5vFM_LY,fin_res,fin_res_metric2,WETSTRIPSWPCP.1 Process Tool,PC DC10,WETSWSTRIPCTP.1 Process Tool,CT DC10,DC10
6A06F182SOF3,9S,0,0,94.4400024,94.8700027,64.8600006,N,0,DC10,1,DC09,0,1
6A067031SOD3,9S,0.16,0.03,77.7699966,92.3000031,100,N,0,DC09,0,DC10,1,1
6A06A358SOG3,US,0.16,0.03,80.5500031,89.7399979,100,M,3,DC09,0,DC10,1,1
6A05U175SOB4,US,0.16,0.03,77.7699966,,,M,5,DC09,0,DC10,1,1
6A064269SOD6,US,0.16,0.03,91.6600037,76.9199982,100,M,3,DC11,0,DC10,1,1
6560085MSEA2,US,0.16,0.05,63.8800011,79.4800034,93.5400009,M,7.77777778,DC11,0,DC09,0,0
6A06A334SOC4,US,0.16,0.05,83.3300018,,,M,2,DC11,0,DC11,0,0
6A062252SOF5,US,0.16,0.05,88.8799973,,,N,0,DC11,0,DC11,0,0
6A063083SOD3,US,0.16,0.05,80.5500031,,,N,0,DC11,0,DC10,1,1
6A063294SOD0,US,0.16,0.05,83.3300018,,,N,1,DC10,1,DC10,1,1
6A064239SOF0,US,0.16,0.05,83.3300018,89.7399979,100,M,11.6666667,DC09,0,DC10,1,1
6A065052SOB1,9S,0.16,0.05,83.3300018,,,N,0,DC09,0,DC11,0,0
6A064282SOF1,US,0.16,0.05,69.4400024,69.2300034,92.5899963,Y,18,DC09,0,DC10,1,1
6A056160SOB0,US,0.16,0.05,91.6600037,,,N,0,DC09,0,DC09,0,0
6A069194SOG1,US,0.16,0.05,91.6600037,89.7399979,100,N,0,DC11,0,DC10,1,1
6A05Q141SOG3,US,0.16,0.05,77.7699966,97.4300003,100,M,3,DC09,0,DC11,0,0
6A05Q273SOF3,US,0.16,0.06,97.2200012,,,N,0,DC10,1,DC10,1,1
6A066250SOG0,9S,0.16,0.06,91.6600037,94.8700027,97.2900009,N,0,DC11,0,DC10,1,1
6A06D172SOA1,US,0.16,0.06,91.6600037,92.3000031,97.2200012,N,0,DC11,0,DC10,1,1
6A05M057SOG2,US,0.16,0.06,83.3300018,100,100,M,2,DC10,1,DC11,0,1
6A06F349SOA5,US,0.16,0.08,88.8799973,,,N,0,DC09,0,DC11,0,0
6A064298SOF5,US,0.16,0.08,86.1100006,94.8700027,97.2900009,N,0,DC11,0,DC11,0,0
6A05Z253SOH1,US,0.16,0.08,94.4400024,,,N,0,DC09,0,DC09,0,0
6A05U178SOG7,US,0.16,0.08,83.3300018,84.6100006,100,M,8.25,DC11,0,DC10,1,1
6A06F156SOB4,US,0.16,0.08,91.6600037,,,N,0,DC09,0,DC11,0,0
6A05R140SOC4,US,0.16,0.11,75,76.9199982,96.6600037,N,0,DC10,1,DC09,0,1
6A06A052SOF5,9S,0.17,0,91.6600037,92.3000031,100,N,0,DC09,0,DC10,1,1
6A05Z099SOA6,9S,0.17,0,91.6600037,94.8700027,100,N,0,DC09,0,DC11,0,0
6A067035SOF5,9S,0.17,0,91.6600037,92.3000031,94.4400024,M,3,DC09,0,DC10,1,1
6A05Z092SOA4,9S,0.17,0.02,88.8799973,87.1699982,61.7599983,N,0,DC09,0,DC11,0,0
6A05U258SOE3,US,0.17,0.02,91.6600037,87.1699982,94.1100006,M,3,DC09,0,DC10,1,1
65600A74SEF6,US,0.17,0.02,86.1100006,,,N,0,DC09,0,DC10,1,1
6A064084SOA5,9S,0.17,0.02,91.6600037,,,N,0,DC09,0,DC10,1,1
6560065MSEC0,US,0.17,0.02,86.1100006,82.0500031,100,M,3,DC11,0,DC11,0,0
6A067032SOA2,9S,0.17,0.02,91.6600037,89.7399979,100,N,0,DC09,0,DC10,1,1
6A067160SOE3,9S,0.17,0.02,86.1100006,,,N,0,DC09,0,DC09,0,0
6A06F093SOA2,US,0.17,0.02,86.1100006,,,M,6,DC09,0,DC10,1,1
6A04S140SOH2,9S,0.17,0.02,72.2200012,,,N,0,DC10,1,DC11,0,1
6A06A365SOF4,US,0.17,0.02,83.3300018,,,N,0,DC09,0,DC10,1,1
