parameter,lot_id,date,Owner
PL032S_bit_PU_L_Idlin_M1,A290X,3/3/22,SRAM
PL032S_bit_PU_R_Idlin_M1,A290X,3/3/22,SRAM
PL032S_FET_PU_Vtsat_M1,A290X,3/3/22,SRAM
PL032S_FET_PU_Vtlin_M1,A290X,3/3/22,SRAM
PL032S_FET_PU_Idoff_M1,A290X,3/3/22,SRAM
P032_FET_PU_Idsat_M1,A290X,3/3/22,SRAM
PL032S_FET_PU_Idsat_M1,A290X,3/3/22,SRAM
P032_FET_PU_Idlin_M1,A290X,3/3/22,SRAM
PL032S_FET_PU_Idlin_M1,A290X,3/3/22,SRAM
,,,
RVTP_TK_COV_M1,A290X,3/3/22,SRAM
,,,
P032_1b_PU_Vtsat_avg_M1,A290X,3/3/22,SRAM
P032_1b_PU_Idsat_avg_M1,A290X,3/3/22,SRAM
P032_1b_Gamma_M1,A290X,3/3/22,SRAM
P032_4FET_Gamma_M1,A290X,3/3/22,SRAM
PL032S_1b_PU_Vtsat_avg_M1,A290X,3/3/22,SRAM
PL032S_1b_PU_Idsat_avg_M1,A290X,3/3/22,SRAM
PL032S_1b_Gamma_M1,A290X,3/3/22,SRAM
PL032S_4FET_PU_Isoff_M1,A290X,3/3/22,SRAM
PL032S_4FET_Gamma_M1,A290X,3/3/22,SRAM
,,,
M032_40FIN_A_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_A_PU_Vtsat_M1,A290X,3/3/22,SRAM
M032_40FIN_B_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_B_PU_Vtsat_M1,A290X,3/3/22,SRAM
M032_40FIN_C_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_C_PU_Vtsat_M1,A290X,3/3/22,SRAM
M032_40FIN_D_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_E_PU_Idsat_M1,A290X,3/3/22,SRAM
M032_40FIN_E_PU_Vtsat_M1,A290X,3/3/22,SRAM
